doc_id,count_words,count_sentences,count_pos,count_neg,calculate_words,calculate_sentences,calculate_pos,calculate_neg
79402,14,1,0,2,14,1,0.0,19.0
79403,36,2,2,3,36,2,17.0,19.0
79404,50,2,2,3,50,2,-18.0,25.5
79405,29,1,1,0,29,1,19,0
79406,22,1,5,0,22,1,77.0,0.0
79407,2,1,0,1,2,1,0,1
79408,37,1,2,0,37,1,27.0,0.0
79409,1,1,1,0,1,1,1,0
79410,62,3,1,0,62,3,60.0,0.0
79411,65,4,4,0,65,4,127.0,0.0
79412,57,1,3,8,57,1,0.0,285.0
79413,50,3,1,2,50,3,21,11
79414,20,1,0,2,20,1,0.0,37.0
79415,42,1,2,5,42,1,29.0,117.0
79416,18,1,1,0,18,1,8.0,0.0
79417,6,1,0,0,6,1,0,0
79418,17,1,0,1,17,1,0,11
79419,93,1,2,4,93,1,40.0,497.0
79420,16,1,0,1,16,1,0,13
79421,9,1,0,3,9,1,0,12
79422,16,1,0,0,16,1,0,0
79423,174,1,31,12,174,1,2795.5,1522.0
79424,46,2,3,3,46,2,163.0,26.0
79425,16,2,1,0,16,2,2,0
79426,21,1,1,0,21,1,14,0
79427,36,1,1,3,36,1,0.0,74.0
79428,18,1,2,1,18,1,15.0,6.0
79429,24,1,1,0,24,1,21,0
79430,4,1,0,0,4,1,0,0
79431,18,1,0,0,18,1,0,0
79432,76,2,4,2,76,2,117.0,30.0
79433,10,1,0,0,10,1,0,0
79434,23,1,1,1,23,1,20,8
79435,96,1,18,4,96,1,520.0,171.0
79436,38,1,2,3,38,1,86.0,20.0
79437,23,1,3,1,23,1,78.0,6.0
79438,33,1,3,0,33,1,47,0
79439,81,1,21,4,81,1,663.0,72.0
79440,22,1,7,1,22,1,177.0,7.0
79441,9,1,0,0,9,1,0,0
79442,42,1,5,3,42,1,106.0,60.0
79443,7,1,1,0,7,1,3,0
79444,13,1,1,2,13,1,8,8
79445,17,3,0,0,17,3,0,0
79446,91,2,4,5,91,2,314.0,191.0
79447,8,1,2,1,8,1,4,4
79448,7,1,0,0,7,1,0,0
79449,102,3,4,0,102,3,-2.0,0.0
79450,20,1,2,1,20,1,17,13
79451,23,1,1,4,23,1,5.0,38.0
79452,99,4,2,7,99,4,18.0,168.0
79453,19,2,1,0,19,2,4,0
79454,14,1,1,2,14,1,7.0,36.0
79455,29,1,0,0,29,1,0,0
79456,41,1,1,3,41,1,0.0,78.0
79457,11,1,1,1,11,1,0.0,5.0
79458,31,1,2,1,31,1,236.0,10.0
79459,21,2,0,1,21,2,0,13
79460,39,2,1,0,39,2,1,0
79461,7,1,1,2,7,1,3,6
79462,15,1,0,0,15,1,0,0
79463,34,3,0,1,34,3,0,7
79464,69,2,0,5,69,2,0.0,39.0
79465,10,1,0,0,10,1,0,0
79466,21,1,0,1,21,1,0.0,45.0
79467,21,1,1,1,21,1,15,10
79468,23,2,0,0,23,2,0,0
79469,23,1,1,3,23,1,0.0,41.0
79470,64,1,4,4,64,1,65.0,116.0
79471,9,1,2,0,9,1,12.0,0.0
79472,24,1,1,3,24,1,15.0,137.5
79473,28,3,2,0,28,3,18.0,0.0
79474,9,1,1,1,9,1,4,5
79475,29,1,0,3,29,1,0.0,43.0
79476,37,2,0,2,37,2,0.0,23.5
79477,6,1,0,0,6,1,0,0
79478,13,1,0,0,13,1,0,0
79479,15,2,0,0,15,2,0,0
79480,9,1,0,0,9,1,0,0
79481,19,1,2,1,19,1,-4.0,14.0
79482,16,1,0,1,16,1,0,12
79483,42,1,2,2,42,1,39.0,128.0
79484,16,1,0,2,16,1,0,25
79485,443,34,28,13,443,34,423.0,146.0
79486,2,1,1,0,2,1,1,0
79487,24,1,1,0,24,1,11,0
79488,36,1,0,2,36,1,0.0,14.5
79489,8,1,0,0,8,1,0,0
79490,8,1,0,0,8,1,0,0
79491,29,1,4,1,29,1,289.0,3.0
79492,12,1,1,0,12,1,2,0
79493,9,1,0,0,9,1,0,0
79494,24,1,4,4,24,1,51.0,89.0
79495,37,1,1,1,37,1,32.0,4.5
79496,31,1,2,0,31,1,38,0
79497,28,1,2,0,28,1,22,0
79498,39,1,1,1,39,1,23,18
79499,77,4,1,2,77,4,4,22
79500,17,1,0,1,17,1,0.0,6.0
79501,38,3,1,0,38,3,3,0
79502,8,1,1,0,8,1,2,0
79503,32,2,5,1,32,2,49,15
79504,48,1,1,2,48,1,15.5,71.0
79505,36,1,6,1,36,1,91,6
79506,30,1,0,1,30,1,0.0,-21.0
79507,69,1,1,4,69,1,0.0,104.0
79508,25,1,0,0,25,1,0,0
79509,14,1,1,1,14,1,6.0,28.0
79510,38,1,1,5,38,1,21.0,94.0
79511,25,1,1,2,25,1,0.0,30.0
79512,16,2,0,1,16,2,0,1
79513,13,1,1,1,13,1,6.0,6.0
79514,16,1,0,2,16,1,0.0,8.0
79515,15,1,1,0,15,1,5,0
79516,1,1,0,1,1,1,0,1
79517,18,1,2,2,18,1,-5.0,19.0
79518,54,6,4,2,54,6,6.0,9.0
79519,19,1,0,2,19,1,0,7
79520,51,1,7,5,51,1,215.0,91.0
79521,11,1,1,1,11,1,3,2
79522,9,1,2,1,9,1,-1.0,1.0
79523,15,1,1,1,15,1,6,8
79524,7,1,0,0,7,1,0,0
79525,29,1,0,4,29,1,0,55
79526,12,1,0,0,12,1,0,0
79527,37,1,3,3,37,1,264.0,51.0
79528,24,1,3,0,24,1,-3.0,0.0
